Source;Target;Weight
1001;1002_2;26
1001;102303_1;1
1001;102303_2;1
1001;102306_1;6
1001;104;200
1001;104304;2
1001;110071;20
1001;111306;5
1001;112310;3
1001;112802;5
1001;113302;4
1001;113315;1
1001;1900;1
1001;2100;51
1001;2900;2
1001;3100;14
1001;999999;3
1002_1;104;1
1002_1;110071;1
1002_1;2100;9
1002_1;4100;14
1002_2;102306_1;1
1002_2;104;2
1002_2;111306;1
1002_2;112310;1
1002_2;113315;1
1002_2;2100;2
1002_2;3100;2
1002_2;999999;2
102303_1;2100;1
102303_2;104304;1
102303_2;2100;6
102303_2;3100;1
102303_3;104304;1
102303_3;2100;2
102306_1;102306_2;1
102306_1;104;2
102306_1;104304;1
102306_1;111306;1
102306_1;2100;2
102306_2;104;1
102306_2;104304;3
102306_2;2100;4
102306_2;3100;1
104;104304;1
104;110071;29
104;111306;1
104;112802;1
104;1900;4
104;2100;85
104;2900;3
104;3100;12
104;4100;2
104304;2100;5
110071;113315;1
110071;1900;3
110071;2100;39
110071;2900;4
110071;3100;6
110071;4100;2
111306;2100;1
112802;2100;1
113302;2100;18
113302;3100;1
113305;2100;6
113315;2100;12
113315;4100;12
113850;2100;4
113850;2900;2
113850;3100;1
113957;2100;5
1900;2100;57
1900;2900;1
1900;3100;1
1900;4100;2
2100;2900;47
2100;3100;35
2100;4100;56
2900;3100;5
